name,screenName
Aleksandar Kolarov,OfficialKolarov
Alessandro Nesta,TempestaNesta
Alvaro Arbeloa,aarbeloa17
Andre-Pierre Gignac,10APG
Andrea Pirlo,21APirlo21
Andrei Arshavin,AndrArshavin23
Andres Iniesta,andresiniesta8
Arjen Robben,TheArjenRobben
Ashley Cole,TheRealAC3
Bastian Schweinsteiger,BastianS7
Carles Puyol,Carles5puyol
Carlos Tevez,carlitostevez11
Cesc Fabregas,cesc4official
Clarence Seedorf,SeedorfOfficial
Cris,ZagueiroCris
Cristiano Ronaldo,Cristiano
Daniel Alves,DaniAlvesD2
David Silva,21LVA
Deco,Deco20oficial
Demy de Zeeuw,DemydeZeeuw
Didier Drogba,FondationDrogba
Diego,Diegoforpeace
Diego Forlan,DiegoForlan7
Diego Milito,Diego22Milito
Dimitar Berbatov,DBerbatov9_
Dirk Kuyt,Dirk_18_Kuyt
Eden Hazard,hazardeden10
Edin Dzeko,EdDzeko
Emmanuel Adebayor,Sheyiadebayor
Esteban Cambiasso,RealCambiasso
Fernando Torres,Torres
Florent Malouda,realflorentm
Francesco Totti,TottiOfficial
Franck Ribery,RiberyOfficial
Frank Lampard,Lampard_CFC
Frederic Kanoute,FredericKanoute
Gabriel Heinze,GabrielHeinzeOK
Gareth Barry,_GarethBarry
Gerard Pique,3gerardpique
Gianluigi Buffon,gianluigibuffon
Glen Johnson,glen_johnson
Gonzalo Higuain,G_Higuain
Gregory van der Wiel,Gvanderwiel
Iker Casillas,IkerCasillasES
Jan Vertonghen,Jan_Vertonghen
Javier Mascherano,Mascherano
John Heitinga,Johnheitinga
Joleon Lescott,JoleonLescott
Julio Cesar,JulioC_Goleiro
Kaka,KAKA
Karim Benzema,9Benzema
Khalid Boulahrouz,boulahrouz81
Klaas-Jan Huntelaar,KJ_Huntelaar
Lassana Diarra,Lass_Officiel
Lionel Messi,Messi_Oficial
Lisondro Lopez,lisandro04lopez
Maicon,realmaicon
Mario Balotelli,M_45_Balotelli
Mesut Ozil,MesutOzil1088
Michael Owen,themichaelowen
Miroslav Klose,MiroslavJKlose
Nani,luisnani
Nigel de Jong,NDJ_Official
Rafael van der Vaart,rafvdvaart
Raul,RaulGonzalez
Ricardo Carvalho,ricar2carvalho
Rio Ferdinand,rioferdy5
Robin van Persie,Persie_Official
Robinho,oficialrobinho
Ronaldinho,10Ronaldinho
Sami Khedira,Sami_Khedira_24
Samir Nasri,SamNasri19
Samuel Eto'o,samueletoo_tk
Sergio Aguero,aguerosergiokun
Sergio Ramos,SergioRamos
Steven Gerrard,StevenGerr8
Torsten Frings,XXII_Frings
Vincent Kompany,VincentKompany
Wayne Rooney,WayneRooney
Wesley Sneijder,sneijder101010
Xabi Alonso,XabiAlonso
Xavi,Xavi_Hernan
Yaya Toure,Toure42Yaya
Yoann Gourcuff,GourcuffYoann
Zlatan Ibrahimovic,OfficialZlatan
